sample,control_substep,physics_tick,robot_0.lift,robot_0.arm,robot_0.yaw,robot_0.pitch,robot_0.roll,robot_0.grip_pos,robot_0.base_fwd,robot_0.base_strafe,robot_0.base_turn,robot_1.lift,robot_1.arm,robot_1.yaw,robot_1.pitch,robot_1.roll,robot_1.grip_pos,robot_1.base_fwd,robot_1.base_strafe,robot_1.base_turn
5,1,64,0.0,0.0,0.0,0.0,0.0,0.5,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
5,2,68,0.0,0.0,0.0,0.0,0.0,0.5,0.132,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
6,0,72,0.0,0.0,0.0,0.0,0.0,0.5,0.154,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
6,1,76,0.0,0.0,0.0,0.0,0.0,0.5,0.176,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
6,2,80,0.0,0.0,0.0,0.0,0.0,0.5,0.198,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
7,0,84,0.0,0.0,0.0,0.0,0.0,0.5,0.22,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
7,1,88,0.0,0.0,0.0,0.0,0.0,0.5,0.242,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
7,2,92,0.0,0.0,0.0,0.0,0.0,0.5,0.264,0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
8,0,96,0.0,0.0,0.0,0.0,0.0,0.5,0.286,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
8,1,100,0.0,0.0,0.0,0.0,0.0,0.5,0.308,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
8,2,104,0.0,0.0,0.0,0.0,0.0,0.5,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
9,0,108,0.0,0.0,0.0,0.0,0.0,0.5,0.352,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
9,1,112,0.0,0.0,0.0,0.0,0.0,0.5,0.374,0.374,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
9,2,116,0.0,0.0,0.0,0.0,0.0,0.5,0.396,0.396,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10,0,120,0.0,0.0,0.0,0.0,0.0,0.5,0.418,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10,1,124,0.0,0.0,0.0,0.0,0.0,0.5,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
10,2,128,0.0,0.0,0.0,0.0,0.0,0.5,0.462,0.462,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11,0,132,0.0,0.0,0.0,0.0,0.0,0.5,0.484,0.484,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11,1,136,0.0,0.0,0.0,0.0,0.0,0.5,0.506,0.506,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
11,2,140,0.0,0.0,0.0,0.0,0.0,0.5,0.528,0.528,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12,0,144,0.0,0.0,0.0,0.0,0.0,0.5,0.506,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12,1,148,0.0,0.0,0.0,0.0,0.0,0.5,0.484,0.572,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
12,2,152,0.0,0.0,0.0,0.0,0.0,0.5,0.462,0.594,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13,0,156,0.0,0.0,0.0,0.0,0.0,0.5,0.44,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13,1,160,0.0,0.0,0.0,0.0,0.0,0.5,0.418,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
13,2,164,0.0,0.0,0.0,0.0,0.0,0.5,0.396,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14,0,168,0.0,0.0,0.0,0.0,0.0,0.5,0.374,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14,1,172,0.0,0.0,0.0,0.0,0.0,0.5,0.352,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
14,2,176,0.0,0.0,0.0,0.0,0.0,0.5,0.33,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
15,0,180,0.0,0.0,0.0,0.0,0.0,0.5,0.308,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.022,0.022,0.0
15,1,184,0.0,0.0,0.0,0.0,0.0,0.5,0.286,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.044,0.044,0.0
15,2,188,0.0,0.0,0.0,0.0,0.0,0.5,0.264,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.066,0.066,0.0
16,0,192,0.0,0.0,0.0,0.0,0.0,0.5,0.242,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.088,0.088,0.0
16,1,196,0.0,0.0,0.0,0.0,0.0,0.5,0.22,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.11,0.11,0.0
16,2,200,0.0,0.0,0.0,0.0,0.0,0.5,0.198,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.132,0.132,0.0
17,0,204,0.0,0.0,0.0,0.0,0.0,0.5,0.176,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.154,0.154,0.0
17,1,208,0.0,0.0,0.0,0.0,0.0,0.5,0.154,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.176,0.176,0.0
17,2,212,0.0,0.0,0.0,0.0,0.0,0.5,0.132,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.198,0.198,0.0
18,0,216,0.0,0.0,0.0,0.0,0.0,0.5,0.154,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.22,0.22,0.0
18,1,220,0.0,0.0,0.0,0.0,0.0,0.5,0.176,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.242,0.242,0.0
18,2,224,0.0,0.0,0.0,0.0,0.0,0.5,0.198,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.264,0.264,0.0
19,0,228,0.0,0.0,0.0,0.0,0.0,0.5,0.22,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.286,0.286,0.0
19,1,232,0.0,0.0,0.0,0.0,0.0,0.5,0.242,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.308,0.308,0.0
19,2,236,0.0,0.0,0.0,0.0,0.0,0.5,0.264,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.33,0.33,0.0
20,0,240,0.0,0.0,0.0,0.0,0.0,0.5,0.286,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.352,0.352,0.0
20,1,244,0.0,0.0,0.0,0.0,0.0,0.5,0.308,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.374,0.374,0.0
20,2,248,0.0,0.0,0.0,0.0,0.0,0.5,0.33,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.396,0.396,0.0
21,0,252,0.0,0.0,0.0,0.0,0.0,0.5,0.352,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.418,0.418,0.0
21,1,256,0.0,0.0,0.0,0.0,0.0,0.5,0.374,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44,0.44,0.0
21,2,260,0.0,0.0,0.0,0.0,0.0,0.5,0.396,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.462,0.462,0.0
22,0,264,0.0,0.0,0.0,0.0,0.0,0.5,0.418,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.484,0.484,0.0
22,1,268,0.0,0.0,0.0,0.0,0.0,0.5,0.44,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.506,0.506,0.0
22,2,272,0.0,0.0,0.0,0.0,0.0,0.5,0.462,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.528,0.528,0.0
23,0,276,0.0,0.0,0.0,0.0,0.0,0.5,0.484,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.55,0.55,0.0
23,1,280,0.0,0.0,0.0,0.0,0.0,0.5,0.506,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.572,0.572,0.0
23,2,284,0.0,0.0,0.0,0.0,0.0,0.5,0.528,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.594,0.594,0.0
24,0,288,0.0,0.0,0.0,0.0,0.0,0.5,0.55,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.616,0.616,0.0
24,1,292,0.0,0.0,0.0,0.0,0.0,0.5,0.572,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.616,0.616,0.0
24,2,296,0.0,0.0,0.0,0.0,0.0,0.5,0.594,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.616,0.616,0.0
25,0,300,0.0,0.0,0.0,0.0,0.0,0.5,0.616,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.616,0.616,0.0
25,1,304,0.0,0.0,0.0,0.0,0.0,0.5,0.616,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.616,0.616,0.0
25,2,308,0.0,0.0,0.0,0.0,0.0,0.5,0.616,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.616,0.616,0.0
26,0,312,0.0,0.0,0.0,0.0,0.0,0.5,0.616,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.616,0.616,0.0
26,1,316,0.0,0.0,0.0,0.0,0.0,0.5,0.616,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.616,0.616,0.0
26,2,320,0.0,0.0,0.0,0.0,0.0,0.5,0.616,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.616,0.616,0.0
27,0,324,0.0,0.0,0.0,0.0,0.0,0.5,0.594,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.594,0.594,0.0
27,1,328,0.0,0.0,0.0,0.0,0.0,0.5,0.572,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.572,0.572,0.0
27,2,332,0.0,0.0,0.0,0.0,0.0,0.5,0.55,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.55,0.55,0.0
28,0,336,0.0,0.0,0.0,0.0,0.0,0.5,0.528,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.528,0.528,0.0
28,1,340,0.0,0.0,0.0,0.0,0.0,0.5,0.506,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.506,0.506,0.0
28,2,344,0.0,0.0,0.0,0.0,0.0,0.5,0.484,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.484,0.484,0.0
29,0,348,0.0,0.0,0.0,0.0,0.0,0.5,0.462,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.462,0.462,0.0
29,1,352,0.0,0.0,0.0,0.0,0.0,0.5,0.44,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.44,0.44,0.0
29,2,356,0.0,0.0,0.0,0.0,0.0,0.5,0.418,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.418,0.418,0.0
30,0,360,0.0,0.0,0.0,0.0,0.0,0.5,0.396,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.396,0.396,0.0
30,1,364,0.0,0.0,0.0,0.0,0.0,0.5,0.374,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.374,0.374,0.0
30,2,368,0.0,0.0,0.0,0.0,0.0,0.5,0.352,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.352,0.352,0.0
31,0,372,0.0,0.0,0.0,0.0,0.0,0.5,0.33,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.33,0.33,0.0
31,1,376,0.0,0.0,0.0,0.0,0.0,0.5,0.308,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.308,0.308,0.0
31,2,380,0.0,0.0,0.0,0.0,0.0,0.5,0.286,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.286,0.286,0.0
32,0,384,0.0,0.0,0.0,0.0,0.0,0.5,0.264,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.264,0.264,0.0
32,1,388,0.0,0.0,0.0,0.0,0.0,0.5,0.242,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.242,0.242,0.0
32,2,392,0.0,0.0,0.0,0.0,0.0,0.5,0.22,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.22,0.22,0.0
33,0,396,0.0,0.0,0.0,0.0,0.0,0.5,0.198,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.198,0.198,0.0
33,1,400,0.0,0.0,0.0,0.0,0.0,0.5,0.176,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.176,0.176,0.0
33,2,404,0.0,0.0,0.0,0.0,0.0,0.5,0.154,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.154,0.154,0.0
34,0,408,0.0,0.0,0.0,0.0,0.0,0.5,0.132,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.132,0.132,0.0
34,1,412,0.0,0.0,0.0,0.0,0.0,0.5,0.11,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.11,0.11,0.0
34,2,416,0.0,0.0,0.0,0.0,0.0,0.5,0.088,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.088,0.088,0.0
35,0,420,0.0,0.0,0.0,0.0,0.0,0.5,0.066,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.066,0.066,0.0
35,1,424,0.0,0.0,0.0,0.0,0.0,0.5,0.044,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.044,0.044,0.0
35,2,428,0.0,0.0,0.0,0.0,0.0,0.5,0.022,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.022,0.022,0.0
36,0,432,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
36,1,436,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
36,2,440,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37,0,444,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37,1,448,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
37,2,452,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38,0,456,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38,1,460,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
38,2,464,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39,0,468,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39,1,472,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
39,2,476,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
40,0,480,0.0,0.0,0.0,0.0,0.0,0.5,-0.022,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
40,1,484,0.0,0.0,0.0,0.0,0.0,0.5,-0.044,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
40,2,488,0.0,0.0,0.0,0.0,0.0,0.5,-0.066,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
41,0,492,0.0,0.0,0.0,0.0,0.0,0.5,-0.088,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
41,1,496,0.0,0.0,0.0,0.0,0.0,0.5,-0.11,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
41,2,500,0.0,0.0,0.0,0.0,0.0,0.5,-0.132,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
42,0,504,0.0,0.0,0.0,0.0,0.0,0.5,-0.154,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
42,1,508,0.0,0.0,0.0,0.0,0.0,0.5,-0.176,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
42,2,512,0.0,0.0,0.0,0.0,0.0,0.5,-0.198,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
43,0,516,0.0,0.0,0.0,0.0,0.0,0.5,-0.22,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
43,1,520,0.0,0.0,0.0,0.0,0.0,0.5,-0.242,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
43,2,524,0.0,0.0,0.0,0.0,0.0,0.5,-0.264,0.616,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
44,0,528,0.025666667,0.0,0.0,0.0,0.0,0.5,-0.242,0.594,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
44,1,532,0.051333334,0.0,0.0,0.0,0.0,0.5,-0.22,0.572,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
44,2,536,0.077,0.0,0.0,0.0,0.0,0.5,-0.198,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
45,0,540,0.10266667,0.0,0.0,0.0,0.0,0.5,-0.176,0.528,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
45,1,544,0.12833333,0.0,0.0,0.0,0.0,0.5,-0.154,0.506,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
45,2,548,0.154,0.0,0.0,0.0,0.0,0.5,-0.132,0.484,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
46,0,552,0.17966667,0.0,0.0,0.0,0.0,0.5,-0.11,0.462,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
46,1,556,0.20533334,0.0,0.0,0.0,0.0,0.5,-0.088,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
46,2,560,0.231,0.0,0.0,0.0,0.0,0.5,-0.066,0.418,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
47,0,564,0.25666666,0.0,0.0,0.0,0.0,0.5,-0.044,0.396,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
47,1,568,0.28233334,0.0,0.0,0.0,0.0,0.5,-0.022,0.374,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
47,2,572,0.308,0.0,0.0,0.0,0.0,0.5,0.0,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
48,0,576,0.33366665,0.0,0.0,0.0,0.0,0.5,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
48,1,580,0.35933334,0.0,0.0,0.0,0.0,0.5,0.0,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
48,2,584,0.385,0.0,0.0,0.0,0.0,0.5,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
49,0,588,0.41066667,0.0,0.0,0.0,0.0,0.5,0.0,0.264,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
49,1,592,0.43633333,0.0,0.0,0.0,0.0,0.5,0.0,0.242,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
49,2,596,0.462,0.0,0.0,0.0,0.0,0.5,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
50,0,600,0.48766667,0.0,0.0,0.0,0.0,0.5,0.0,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
50,1,604,0.5133333,0.0,0.0,0.0,0.0,0.5,0.0,0.176,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
50,2,608,0.539,0.0,0.0,0.0,0.0,0.5,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
51,0,612,0.5646667,0.0,0.0,0.0,0.0,0.5,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
51,1,616,0.59033334,0.0,0.0,0.0,0.0,0.5,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
51,2,620,0.616,0.0,0.0,0.0,0.0,0.5,0.0,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
52,0,624,0.64166665,0.0,0.0,0.0,0.0,0.5,0.0,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
52,1,628,0.6673333,0.0,0.0,0.0,0.0,0.5,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
52,2,632,0.693,0.0,0.0,0.0,0.0,0.5,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
53,0,636,0.7186667,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
53,1,640,0.7443333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
53,2,644,0.77,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
54,0,648,0.7956667,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
54,1,652,0.82133335,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
54,2,656,0.847,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
55,0,660,0.87266666,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
55,1,664,0.8983333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
55,2,668,0.924,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
56,0,672,0.9496667,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.022,0.0
56,1,676,0.97533333,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.044,0.0
56,2,680,1.001,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.066,0.0
57,0,684,1.0266666,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.088,0.0
57,1,688,1.0523334,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.11,0.0
