sample,time_s,raw_points,rate_points_pickup_excluded,score_time_s,points_per_s,first_contact_tick,pickup,first_sleeve,opposite_shoulder,second_sleeve,overall_dressing,reward,done
24,1.2583333989605308,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
25,1.308333401568234,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
26,1.3583334041759372,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
27,1.4083334067836404,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
28,1.4583334093913436,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
29,1.5083334119990468,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
30,1.55833341460675,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
31,1.6083334172144532,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
32,1.6583334198221564,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
33,1.7083334224298596,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
34,1.7583334250375628,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
35,1.808333427645266,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
36,1.8583334302529693,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
37,1.9083334328606725,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
38,1.9583334354683757,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
39,2.008333438076079,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
40,2.058333440683782,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
41,2.1083334432914853,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
42,2.1583334458991885,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
43,2.2083334485068917,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
44,2.258333451114595,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
45,2.308333453722298,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
46,2.3583334563300014,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
47,2.4083334589377046,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
48,2.4583334615454078,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
49,2.508333464153111,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
50,2.558333466760814,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
51,2.6083334693685174,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
52,2.6583334719762206,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
53,2.708333474583924,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
54,2.758333477191627,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
55,2.8083334797993302,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
56,2.8583334824070334,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
57,2.9083334850147367,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
58,2.95833348762244,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
59,3.008333490230143,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
60,3.0583334928378463,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
61,3.1083334954455495,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
62,3.1583334980532527,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
63,3.208333500660956,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
64,3.258333503268659,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
65,3.3083335058763623,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
66,3.3583335084840655,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
67,3.4083335110917687,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
68,3.458333513699472,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
69,3.508333516307175,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
70,3.5583335189148784,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
71,3.6083335215225816,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
72,3.658333524130285,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
73,3.708333526737988,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
74,3.758333529345691,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
75,3.8083335319533944,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
76,3.8583335345610976,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
77,3.908333537168801,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
78,3.958333539776504,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
79,4.008333542384207,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
80,4.0583335449919105,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
81,4.108333547599614,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
82,4.158333550207317,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
83,4.20833355281502,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
84,4.258333555422723,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
85,4.3083335580304265,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
86,4.35833356063813,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
87,4.408333563245833,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
88,4.458333565853536,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
89,4.508333568461239,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
90,4.5583335710689425,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
91,4.608333573676646,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
92,4.658333576284349,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
93,4.708333578892052,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
94,4.758333581499755,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
95,4.808333584107459,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
96,4.858333586715162,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
97,4.908333589322865,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
98,4.958333591930568,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
99,5.008333594538271,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
100,5.058333597145975,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
101,5.108333599753678,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
102,5.158333602361381,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
103,5.208333604969084,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
104,5.2583336075767875,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
105,5.308333610184491,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
106,5.358333612792194,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
107,5.408333615399897,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
108,5.4583336180076,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
109,5.5083336206153035,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
110,5.558333623223007,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
111,5.60833362583071,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
112,5.658333628438413,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
113,5.708333631046116,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
114,5.75833363365382,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
115,5.808333636261523,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
116,5.858333638869226,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
117,5.908333641476929,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
118,5.958333644084632,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
119,6.008333646692336,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
120,6.058333649300039,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
121,6.108333651907742,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
122,6.158333654515445,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
123,6.208333657123148,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
124,6.258333659730852,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
125,6.308333662338555,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
126,6.358333664946258,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
127,6.408333667553961,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
128,6.4583336701616645,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
129,6.508333672769368,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
130,6.558333675377071,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
131,6.608333677984774,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
132,6.658333680592477,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
133,6.7083336832001805,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
134,6.758333685807884,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
135,6.808333688415587,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
136,6.85833369102329,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
137,6.908333693630993,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
138,6.958333696238697,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
139,7.0083336988464,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
140,7.058333701454103,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
141,7.108333704061806,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
142,7.158333706669509,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
143,7.208333709277213,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
144,7.258333711884916,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
145,7.308333714492619,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
146,7.358333717100322,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
147,7.4083337197080255,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
148,7.458333722315729,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
149,7.508333724923432,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
150,7.558333727531135,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
151,7.608333730138838,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
152,7.6583337327465415,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
153,7.708333735354245,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
154,7.758333737961948,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
155,7.808333740569651,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
156,7.858333743177354,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
157,7.9083337457850575,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
158,7.958333748392761,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
159,8.008333751000464,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
160,8.058333753608167,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
161,8.10833375621587,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
162,8.158333758823574,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
163,8.208333761431277,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
164,8.25833376403898,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
165,8.308333766646683,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
166,8.358333769254386,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
167,8.40833377186209,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
168,8.458333774469793,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
169,8.508333777077496,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
170,8.5583337796852,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
171,8.608333782292902,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
172,8.658333784900606,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
173,8.708333787508309,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
174,8.758333790116012,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
175,8.808333792723715,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
176,8.858333795331419,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
177,8.908333797939122,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
178,8.958333800546825,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
179,9.008333803154528,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
180,9.058333805762231,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
181,9.108333808369935,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
182,9.158333810977638,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
183,9.208333813585341,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
184,9.258333816193044,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
185,9.308333818800747,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
186,9.35833382140845,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
187,9.408333824016154,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
188,9.458333826623857,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
189,9.50833382923156,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
190,9.558333831839263,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
191,9.608333834446967,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
192,9.65833383705467,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
193,9.708333839662373,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
194,9.758333842270076,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
195,9.80833384487778,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
196,9.858333847485483,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
197,9.908333850093186,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
198,9.958333852700889,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
199,10.008333855308592,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
200,10.058333857916296,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
201,10.108333860523999,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
202,10.158333863131702,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
203,10.208333865739405,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
204,10.258333868347108,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
205,10.308333870954812,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
206,10.358333873562515,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
207,10.408333876170218,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
208,10.458333878777921,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
209,10.508333881385624,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
210,10.558333883993328,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
211,10.60833388660103,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
212,10.658333889208734,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
213,10.708333891816437,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
214,10.75833389442414,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
215,10.808333897031844,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
216,10.858333899639547,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
217,10.90833390224725,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
218,10.958333904854953,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
219,11.008333907462656,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
220,11.05833391007036,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
221,11.108333912678063,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
222,11.158333915285766,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
223,11.20833391789347,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
224,11.258333920501173,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
225,11.308333923108876,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
226,11.358333925716579,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
227,11.408333928324282,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
228,11.458333930931985,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
229,11.508333933539689,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
230,11.558333936147392,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
231,11.608333938755095,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
232,11.658333941362798,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
233,11.708333943970501,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
234,11.758333946578205,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
235,11.808333949185908,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
236,11.858333951793611,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
237,11.908333954401314,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
238,11.958333957009017,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
239,12.00833395961672,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
240,12.058333962224424,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
241,12.108333964832127,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
242,12.15833396743983,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
243,12.208333970047534,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
244,12.258333972655237,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
245,12.30833397526294,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
246,12.358333977870643,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
247,12.408333980478346,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
248,12.45833398308605,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
249,12.508333985693753,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
250,12.558333988301456,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
251,12.60833399090916,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
252,12.658333993516862,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
253,12.708333996124566,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
254,12.758333998732269,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
255,12.808334001339972,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
256,12.858334003947675,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
257,12.908334006555378,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
258,12.958334009163082,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
259,13.008334011770785,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
260,13.058334014378488,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
261,13.108334016986191,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
262,13.158334019593894,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
263,13.208334022201598,0.0,0.0,0.0,,-1,0.0,0.0,0.0,0.0,0.0,0.0,0
